nazwa;oczekiwana wartosc;znaleleziona; dlugosc danych; uzyte slowa; czas w ms
Folder: test/negatywne_losowe
10.500-100.txt;509;533;400;400;3273
10.500-200.txt;509;523;300;300;1006
18.200-40.txt;209;216;160;160;230
18.200-80.txt;209;249;120;118;98
20.300-120.txt;309;344;180;179;327
20.300-60.txt;309;319;240;240;739
35.200-40.txt;209;215;160;160;213
35.200-80.txt;209;168;120;120;94
53.500-100.txt;509;522;400;399;2181
53.500-200.txt;509;519;300;299;791
55.300-120.txt;309;332;180;180;260
55.300-60.txt;309;319;240;240;549
55.400-160.txt;409;315;240;236;572
55.400-80.txt;409;444;320;320;1216
58.300-120.txt;309;303;180;178;281
58.300-60.txt;309;319;240;240;473
62.400-160.txt;409;315;240;237;424
62.400-80.txt;409;441;320;319;1150
68.400-160.txt;409;319;240;240;586
68.400-80.txt;409;444;320;320;1358
9.200-40.txt;209;207;160;160;226
9.200-80.txt;209;168;120;120;114
Folder: test/negatywne_wynikajace_powtorzen powtorzen
113.500-8.txt;509;536;492;492;4038
144.500-12.txt;509;516;488;488;4566
28.500-18.txt;509;504;482;482;4015
34.500-32.txt;509;487;468;468;3887
59.500-2.txt;509;550;498;498;4383
Folder: test/pozytywne_losowe
10.500+200.txt;509;1685;700;666;11527
18.200+80.txt;209;365;280;264;1060
20.300+120.txt;309;409;420;387;2679
25.500+200.txt;509;1606;700;662;10836
35.200+80.txt;209;451;280;256;586
53.500+200.txt;509;1698;700;678;11390
55.300+120.txt;309;427;420;405;2448
55.400+160.txt;409;1179;560;508;4929
58.300+120.txt;309;429;420;407;2249
62.400+160.txt;409;1224;560;519;5461
68.400+160.txt;409;1446;560;548;5846
9.200+80.txt;209;339;280;258;664
Folder: test/pozytywne_przeklamania
10.500+50.txt;509;964;550;542;5591
18.200+20.txt;209;325;220;201;368
20.300+30.txt;309;529;330;321;1261
25.500+50.txt;509;828;550;526;5292
35.200+20.txt;209;298;220;215;345
53.500+50.txt;509;855;550;533;5298
55.300+30.txt;309;622;330;324;1421
55.400+40.txt;409;451;440;429;2689
58.300+30.txt;309;605;330;325;1279
62.400+40.txt;409;446;440;424;2824
68.400+40.txt;409;453;440;431;3066
9.200+20.txt;209;280;220;214;489
