nazwa; oczekiwana wartosc;znaleleziona; dlugosc danych; uzyte slowa; czas w ms
Folder: test/negatywne_losowe
10.500-100.txt;509;275;400;219;1469
10.500-200.txt;509;234;300;187;324
18.200-40.txt;209;180;160;139;131
18.200-80.txt;209;74;120;52;39
20.300-120.txt;309;110;180;82;74
20.300-60.txt;309;257;240;207;238
35.200-40.txt;209;178;160;144;130
35.200-80.txt;209;69;120;51;21
53.500-100.txt;509;479;400;378;1006
53.500-200.txt;509;295;300;230;282
55.300-120.txt;309;153;180;121;100
55.300-60.txt;309;247;240;198;326
55.400-160.txt;409;97;240;75;95
55.400-80.txt;409;325;320;258;355
58.300-120.txt;309;168;180;135;104
58.300-60.txt;309;264;240;212;247
62.400-160.txt;409;253;240;204;372
62.400-80.txt;409;400;320;308;778
68.400-160.txt;409;234;240;187;289
68.400-80.txt;409;401;320;305;848
9.200-40.txt;209;201;160;160;150
9.200-80.txt;209;123;120;97;54
Folder: test/negatywne_wynikajace_powtorzen
113.500-8.txt;509;446;492;432;2239
144.500-12.txt;509;490;488;478;4117
28.500-18.txt;509;490;482;478;1744
34.500-32.txt;509;414;468;401;1992
59.500-2.txt;509;340;498;330;1551
Folder: test/pozytywne_losowe
10.500+200.txt;509;415;700;406;3078
18.200+80.txt;209;181;280;172;407
20.300+120.txt;309;303;420;294;893
25.500+200.txt;509;455;700;443;2414
35.200+80.txt;209;210;280;201;230
53.500+200.txt;509;509;700;500;3230
55.300+120.txt;309;309;420;300;715
55.400+160.txt;409;399;560;390;1970
58.300+120.txt;309;310;420;301;690
62.400+160.txt;409;409;560;400;1839
68.400+160.txt;409;402;560;393;2382
9.200+80.txt;209;209;280;200;403
Folder: test/pozytywne_przeklamania
10.500+50.txt;509;155;550;146;708
18.200+20.txt;209;98;220;89;150
20.300+30.txt;309;244;330;235;906
25.500+50.txt;509;170;550;161;577
35.200+20.txt;209;81;220;72;97
53.500+50.txt;509;201;550;192;805
55.300+30.txt;309;124;330;115;265
55.400+40.txt;409;88;440;79;293
58.300+30.txt;309;97;330;88;196
62.400+40.txt;409;115;440;106;334
68.400+40.txt;409;162;440;153;448
9.200+20.txt;209;97;220;88;115
